"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","PCT","Percent","2017","","","","23.1699346405229"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","02","Meat and edible meat offal","A","Annual","A","Annual","PCT","Percent","2017","","","","30"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","03","Fish and crustaceans, molluscs and other aquatic invertebrates","A","Annual","A","Annual","PCT","Percent","2017","","","","29.7761983082707"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","A","Annual","A","Annual","PCT","Percent","2017","","","","25.234375"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","05","Products of animal origin, not elsewhere specified or included","A","Annual","A","Annual","PCT","Percent","2017","","","","26.65"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","06","Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage","A","Annual","A","Annual","PCT","Percent","2017","","","","19.0625"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","07","Edible vegetables and certain roots and tubers","A","Annual","A","Annual","PCT","Percent","2017","","","","25.6716417910448"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","08","Edible fruit and nuts; peel of citrus fruit or melons","A","Annual","A","Annual","PCT","Percent","2017","","","","30"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","09","Coffee, tea, mate and spices","A","Annual","A","Annual","PCT","Percent","2017","","","","29.8717948717949"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","10","Cereals","A","Annual","A","Annual","PCT","Percent","2017","","","","9.87179487179487"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","11","Products of the milling industry; malt; starches; inulin; wheat gluten","A","Annual","A","Annual","PCT","Percent","2017","","","","30"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder","A","Annual","A","Annual","PCT","Percent","2017","","","","10.1547619047619"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","012","DZA","Algeria","-","","-","HS","Harmonized System","13","Lac; gums, resins and other vegetable saps and extracts","A","Annual","A","Annual","PCT","Percent","2017","","","","5"
