UNC_YEAR,HSCD,COUNTRYCD,COUNTRYNM,TRADE_COUNTRYCD,TRADE_HSCD,TARIFF_AVG,SNDIST,NY_GDP_MKTP_CD,NY_GDP_MKTP_CD_1Y,SP_POP_TOTL,PA_NUS_FCRF,IC_BUS_EASE_DFRN_DB,KMDIST,TRADE_HSCD_COUNTRYCD,KR_TRADE_HSCD_COUNTRYCD
2017,190590,12,Algeria,46052990973 ,19480986257 ,30,3878.238437,170163165961 ,159994837855 ,41389198,110.9730167,46.10981,9954.009766,3416326,7657
2017,190590,36,Australia,228441691195 ,19480986257 ,0,12203.15598,1329188475752 ,1208846993740 ,24601860,1.304758077,80.22369,8329.652344,438747025,5294788
2017,190590,40,Austria,166475020975 ,19480986257 ,0,4403.247293,417237869116 ,395568644341 ,8797566,,78.85646,8289.029297,453206357,335818
2017,190590,56,Belgium,406412223480 ,19480986257 ,0,3980.375563,502698069367 ,475739588765 ,11375158,,72.4092,8722.114258,706524512,173709
2017,190590,76,Brazil,150749493921 ,19480986257 ,18,9644.206941,2062831045936 ,1795700168991 ,207833831,3.191389446,55.38240333,18364.50586,31329648,122850
2017,190590,104,Myanmar,19253441935 ,19480986257 ,5,5891.659995,68945867478 ,67184236747 ,53382581,1360.358707,42.67139,3796.142578,12761824,631082
2017,190590,124,Canada,432405117520 ,19480986257 ,0,7911.783801,1649878054227 ,1528243213982 ,36543321,1.297935846,79.54094,10617.70313,1113991318,7273171
2017,190590,144,Sri Lanka,21316172076 ,19480986257 ,30,6176.30332,87428125558 ,82401038710 ,21444000,152.4464139,59.82373,5840.512695,841757,44837
2017,190590,152,Chile,65257236198 ,19480986257 ,0,9550.300571,277044950259 ,250440136356 ,18470439,648.8337926,71.58185,18375.18164,42723409,63715
2017,190590,156,China,1843792938795 ,19480986257 ,8.6,6363.348377,12310409370893 ,11233276536737 ,1386395000,6.758755086,64.63936,955.651062,306765145,8011591
2017,190590,203,Czechia,162898931578 ,19480986257 ,0,3462.111609,218628940952 ,196272068576 ,10594438,23.37633333,76.38834,8262.0625,244402030,113546
2017,190590,251,France,613132553087 ,19480986257 ,0,4747.427061,2595151045198 ,2471285607082 ,66864379,,76.25038,8981.466797,1257972998,864324
2017,190590,276,Germany,1167753276317 ,19480986257 ,0,4384.871108,3682602479929 ,3467498002104 ,82657002,,79.5543,8543.78418,1449165514,2086252
2017,190590,320,Guatemala,18377914375 ,19480986257 ,15,6516.179027,71612352645 ,66053725049 ,16087418,7.34793875,61.95631,13029.69238,60291192,127538
2017,190590,344,"China, Hong Kong SAR",589317409641 ,19480986257 ,0,7404.406891,341244161577 ,320837638329 ,7391700,7.79325,84.76059,2095.842529,287553268,11043420
2017,190590,360,Indonesia,156925129942 ,19480986257 ,0,8139.543778,1015618742566 ,931877364178 ,264645886,13380.83388,64.52893333,5291.683594,43441822,950567
2017,190590,364,Iran,51612276867 ,19480986257 ,30,4021.444727,445345256459 ,417983583566 ,80673951,33226.29815,55.70786,6562.448242,178858,7441
2017,190590,381,Italy,453582969038 ,19480986257 ,0,4388.472723,1961796197354 ,1875797463584 ,60536709,,71.82565,8982.65918,581027525,233720
2017,190590,392,Japan,671474268771 ,19480986257 ,17.8,7636.854213,4866864409658 ,4922538141455 ,126785797,112.1661411,78.02069667,1156.669556,359935524,9701684
2017,190590,398,Kazakhstan,29345907738 ,19480986257 ,10.9,4293.407008,166805800596 ,137278320084 ,18037776,326.0010227,74.84879,4227.771973,59227590,47896
